19:  Para cada dirección, cuenta cuántos clientes residen ahí.
address_id	address	customers_here
5	1913 Hanoi Way	1
6	1121 Loja Avenue	1
7	692 Joliet Street	1
8	1566 Inegöl Manor	1
9	53 Idfu Parkway	1
10	1795 Santiago de Compostela Way	1
11	900 Santiago de Compostela Parkway	1
12	478 Joliet Way	1
13	613 Korolev Drive	1
14	1531 Salé Drive	1
15	1542 Tarlac Parkway	1
16	808 Bhopal Manor	1
17	270 Amroha Parkway	1
18	770 Bydgoszcz Avenue	1
19	419 Iligan Lane	1
20	360 Toulouse Parkway	1
21	270 Toulon Boulevard	1
22	320 Brest Avenue	1
23	1417 Lancaster Avenue	1
24	1688 Okara Way	1
25	262 A Coruña (La Coruña) Parkway	1
26	28 Charlotte Amalie Street	1
27	1780 Hino Boulevard	1
28	96 Tafuna Way	1
29	934 San Felipe de Puerto Plata Street	1
30	18 Duisburg Boulevard	1
31	217 Botshabelo Place	1
32	1425 Shikarpur Manor	1
33	786 Aurora Avenue	1
34	1668 Anápolis Street	1
35	33 Gorontalo Way	1
36	176 Mandaluyong Place	1
37	127 Purnea (Purnia) Manor	1
38	61 Tama Street	1
39	391 Callao Drive	1
40	334 Munger (Monghyr) Lane	1
41	1440 Fukuyama Loop	1
42	269 Cam Ranh Parkway	1
43	306 Antofagasta Place	1
44	671 Graz Street	1
45	42 Brindisi Place	1
46	1632 Bislig Avenue	1
47	1447 Imus Way	1
48	1998 Halifax Drive	1
49	1718 Valencia Street	1
50	46 Pjatigorsk Lane	1
51	686 Garland Manor	1
52	909 Garland Manor	1
53	725 Isesaki Place	1
54	115 Hidalgo Parkway	1
55	1135 Izumisano Parkway	1
56	939 Probolinggo Loop	1
57	17 Kabul Boulevard	1
58	1964 Allappuzha (Alleppey) Street	1
59	1697 Kowloon and New Kowloon Loop	1
60	1668 Saint Louis Place	1
61	943 Tokat Street	1
62	1114 Liepaja Street	1
63	1213 Ranchi Parkway	1
64	81 Hodeida Way	1
65	915 Ponce Place	1
66	1717 Guadalajara Lane	1
67	1214 Hanoi Way	1
68	1966 Amroha Avenue	1
69	698 Otsu Street	1
70	1150 Kimchon Manor	1
71	1586 Guarujá Place	1
72	57 Arlington Manor	1
73	1031 Daugavpils Parkway	1
74	1124 Buenaventura Drive	1
75	492 Cam Ranh Street	1
76	89 Allappuzha (Alleppey) Manor	1
77	1947 Poços de Caldas Boulevard	1
78	1206 Dos Quebradas Place	1
79	1551 Rampur Lane	1
80	602 Paarl Street	1
81	1692 Ede Loop	1
82	936 Salzburg Lane	1
83	586 Tete Way	1
84	1888 Kabul Drive	1
85	320 Baiyin Parkway	1
86	927 Bahía Blanca Parkway	1
87	929 Tallahassee Loop	1
88	125 Città del Vaticano Boulevard	1
89	1557 Kütahya Boulevard	1
90	870 Ashqelon Loop	1
91	1740 Portoviejo Avenue	1
92	1942 Ciparay Parkway	1
